locality,population_density,avg_income_lpa,metro_access,road_connectivity,competitor_count,office_hubs,commercial_score,rental_index,accessibility,market_score,cluster,market_segment,recommendation
Whitefield,0.666666666666667,0.75,8,9,0.8571428571428573,10,1.0,9,1.0,0.7089285714285715,0,Premium Markets,Monitor
Electronic City,0.41666666666666674,0.16666666666666674,6,8,0.4285714285714286,9,0.6000000000000001,6,0.5789473684210528,0.428170426065163,2,Emerging Markets,Avoid
Koramangala,0.9166666666666665,0.8333333333333333,7,9,1.0,8,1.0,10,0.8421052631578951,0.7517543859649123,0,Premium Markets,Open Immediately
HSR Layout,0.8333333333333335,0.6666666666666667,7,8,0.7142857142857144,8,0.8,8,0.7368421052631581,0.6868922305764412,0,Premium Markets,Monitor
Indiranagar,1.0,1.0,8,9,0.8571428571428573,7,1.0,10,1.0,0.8714285714285713,0,Premium Markets,Open Immediately
Marathahalli,0.75,0.33333333333333326,6,9,0.7142857142857144,8,0.6000000000000001,7,0.6842105263157893,0.548032581453634,2,Emerging Markets,Avoid
Hebbal,0.25,0.41666666666666674,8,9,0.4285714285714286,7,0.6000000000000001,7,1.0,0.5248809523809524,2,Emerging Markets,Avoid
Yelahanka,0.0,0.08333333333333337,5,8,0.14285714285714288,4,0.20000000000000018,5,0.42105263157894746,0.2536152882205514,1,Growth Markets,Avoid
Jayanagar,0.5833333333333335,0.5,7,8,0.5714285714285715,5,0.6000000000000001,7,0.7368421052631581,0.571654135338346,2,Emerging Markets,Monitor
Rajajinagar,0.5,0.41666666666666674,8,8,0.4285714285714286,5,0.6000000000000001,7,0.8947368421052633,0.578828320802005,2,Emerging Markets,Monitor
BTM Layout,0.7166666666666668,0.25,6,8,0.5714285714285715,6,0.6000000000000001,6,0.5789473684210528,0.5175751879699249,2,Emerging Markets,Avoid
Bellandur,0.7833333333333332,0.5833333333333333,6,8,0.7142857142857144,9,0.8,8,0.5789473684210528,0.6194799498746867,0,Premium Markets,Monitor
Sarjapur Road,0.3833333333333335,0.5,5,8,0.28571428571428575,8,0.6000000000000001,7,0.42105263157894746,0.49135338345864665,2,Emerging Markets,Avoid
Malleshwaram,0.55,0.5833333333333333,7,8,0.4285714285714286,4,0.6000000000000001,8,0.7368421052631581,0.6039160401002507,0,Premium Markets,Monitor
Banashankari,0.4500000000000002,0.16666666666666674,6,8,0.28571428571428575,4,0.40000000000000013,5,0.5789473684210528,0.43959899749373443,2,Emerging Markets,Avoid
JP Nagar,0.41666666666666674,0.25,6,8,0.28571428571428575,4,0.40000000000000013,6,0.5789473684210528,0.4504323308270677,2,Emerging Markets,Avoid
Kalyan Nagar,0.21666666666666679,0.33333333333333326,5,7,0.14285714285714288,3,0.20000000000000018,6,0.3157894736842109,0.3600626566416041,3,Saturated Markets,Avoid
RT Nagar,0.18333333333333335,0.08333333333333337,4,7,0.14285714285714288,2,0.0,5,0.15789473684210534,0.23598370927318296,1,Growth Markets,Avoid
Brookefield,0.5666666666666667,0.5833333333333333,6,8,0.4285714285714286,7,0.6000000000000001,7,0.5789473684210528,0.5773370927318295,0,Premium Markets,Monitor
KR Puram,0.3333333333333335,0.16666666666666674,5,8,0.28571428571428575,5,0.20000000000000018,5,0.42105263157894746,0.35302005012531334,1,Growth Markets,Avoid
Hennur,0.1166666666666667,0.25,4,7,0.0,3,0.0,5,0.15789473684210534,0.2790789473684211,1,Growth Markets,Avoid
Nagawara,0.21666666666666679,0.25,5,8,0.14285714285714288,4,0.20000000000000018,5,0.42105263157894746,0.3602819548872181,3,Saturated Markets,Avoid
Mahadevapura,0.666666666666667,0.6666666666666667,7,9,0.5714285714285715,9,0.8,8,0.8421052631578951,0.6793734335839601,0,Premium Markets,Monitor
Varthur,0.050000000000000044,0.08333333333333337,3,7,0.0,4,0.0,4,0.0,0.18583333333333335,1,Growth Markets,Avoid
Yeshwanthpur,0.28333333333333344,0.25,7,9,0.28571428571428575,4,0.40000000000000013,6,0.8421052631578951,0.46306390977443623,2,Emerging Markets,Avoid
Basavanagudi,0.3833333333333335,0.33333333333333326,6,7,0.28571428571428575,3,0.40000000000000013,6,0.47368421052631604,0.4402130325814537,2,Emerging Markets,Avoid
Frazer Town,0.20000000000000018,0.41666666666666674,5,7,0.14285714285714288,3,0.20000000000000018,6,0.3157894736842109,0.3758959899749375,3,Saturated Markets,Avoid
Shivajinagar,0.666666666666667,0.0,7,8,0.5714285714285715,4,0.6000000000000001,5,0.7368421052631581,0.471654135338346,2,Emerging Markets,Avoid
Domlur,0.5166666666666668,0.5833333333333333,6,8,0.4285714285714286,6,0.6000000000000001,7,0.5789473684210528,0.5623370927318296,0,Premium Markets,Monitor
CV Raman Nagar,0.26666666666666683,0.41666666666666674,5,7,0.14285714285714288,5,0.20000000000000018,6,0.3157894736842109,0.39589598997493747,3,Saturated Markets,Avoid
